n_sources,fraction_changed,n_changed,seed,variant,fetches
6,0.8333,5,40260920,CWR,1
6,0.8333,5,40260921,FULL,6
6,0.8333,5,40260921,AFFECTED,5
6,0.8333,5,40260921,RESIDUAL,1
6,0.8333,5,40260921,CWR,1
6,0.8333,5,40260922,FULL,6
6,0.8333,5,40260922,AFFECTED,5
6,0.8333,5,40260922,RESIDUAL,1
6,0.8333,5,40260922,CWR,1
6,0.8333,5,40260923,FULL,6
6,0.8333,5,40260923,AFFECTED,5
6,0.8333,5,40260923,RESIDUAL,1
6,0.8333,5,40260923,CWR,1
6,0.8333,5,40260924,FULL,6
6,0.8333,5,40260924,AFFECTED,5
6,0.8333,5,40260924,RESIDUAL,1
6,0.8333,5,40260924,CWR,1
6,0.8333,5,40260925,FULL,6
6,0.8333,5,40260925,AFFECTED,5
6,0.8333,5,40260925,RESIDUAL,1
6,0.8333,5,40260925,CWR,1
6,0.8333,5,40260926,FULL,6
6,0.8333,5,40260926,AFFECTED,5
6,0.8333,5,40260926,RESIDUAL,1
6,0.8333,5,40260926,CWR,1
6,0.8333,5,40260927,FULL,6
6,0.8333,5,40260927,AFFECTED,5
6,0.8333,5,40260927,RESIDUAL,1
6,0.8333,5,40260927,CWR,1
6,0.8333,5,40260928,FULL,6
6,0.8333,5,40260928,AFFECTED,5
6,0.8333,5,40260928,RESIDUAL,1
6,0.8333,5,40260928,CWR,1
6,0.8333,5,40260929,FULL,6
6,0.8333,5,40260929,AFFECTED,5
6,0.8333,5,40260929,RESIDUAL,1
6,0.8333,5,40260929,CWR,1
6,0.8333,5,40260930,FULL,6
6,0.8333,5,40260930,AFFECTED,5
6,0.8333,5,40260930,RESIDUAL,1
6,0.8333,5,40260930,CWR,1
6,0.8333,5,40260931,FULL,6
6,0.8333,5,40260931,AFFECTED,5
6,0.8333,5,40260931,RESIDUAL,1
6,0.8333,5,40260931,CWR,1
6,0.8333,5,40260932,FULL,6
6,0.8333,5,40260932,AFFECTED,5
6,0.8333,5,40260932,RESIDUAL,1
6,0.8333,5,40260932,CWR,1
6,0.8333,5,40260933,FULL,6
6,0.8333,5,40260933,AFFECTED,5
6,0.8333,5,40260933,RESIDUAL,1
6,0.8333,5,40260933,CWR,1
6,0.8333,5,40260934,FULL,6
6,0.8333,5,40260934,AFFECTED,5
6,0.8333,5,40260934,RESIDUAL,1
6,0.8333,5,40260934,CWR,1
6,0.8333,5,40260935,FULL,6
6,0.8333,5,40260935,AFFECTED,5
6,0.8333,5,40260935,RESIDUAL,1
6,0.8333,5,40260935,CWR,1
6,1.0,6,40260916,FULL,6
6,1.0,6,40260916,AFFECTED,6
6,1.0,6,40260916,RESIDUAL,2
6,1.0,6,40260916,CWR,2
6,1.0,6,40260917,FULL,6
6,1.0,6,40260917,AFFECTED,6
6,1.0,6,40260917,RESIDUAL,2
6,1.0,6,40260917,CWR,2
6,1.0,6,40260918,FULL,6
6,1.0,6,40260918,AFFECTED,6
6,1.0,6,40260918,RESIDUAL,2
6,1.0,6,40260918,CWR,2
6,1.0,6,40260919,FULL,6
6,1.0,6,40260919,AFFECTED,6
6,1.0,6,40260919,RESIDUAL,2
6,1.0,6,40260919,CWR,2
6,1.0,6,40260920,FULL,6
6,1.0,6,40260920,AFFECTED,6
6,1.0,6,40260920,RESIDUAL,2
6,1.0,6,40260920,CWR,2
6,1.0,6,40260921,FULL,6
6,1.0,6,40260921,AFFECTED,6
6,1.0,6,40260921,RESIDUAL,2
6,1.0,6,40260921,CWR,2
6,1.0,6,40260922,FULL,6
6,1.0,6,40260922,AFFECTED,6
6,1.0,6,40260922,RESIDUAL,2
6,1.0,6,40260922,CWR,2
6,1.0,6,40260923,FULL,6
6,1.0,6,40260923,AFFECTED,6
6,1.0,6,40260923,RESIDUAL,2
6,1.0,6,40260923,CWR,2
6,1.0,6,40260924,FULL,6
6,1.0,6,40260924,AFFECTED,6
6,1.0,6,40260924,RESIDUAL,2
6,1.0,6,40260924,CWR,2
6,1.0,6,40260925,FULL,6
6,1.0,6,40260925,AFFECTED,6
6,1.0,6,40260925,RESIDUAL,2
6,1.0,6,40260925,CWR,2
6,1.0,6,40260926,FULL,6
6,1.0,6,40260926,AFFECTED,6
6,1.0,6,40260926,RESIDUAL,2
6,1.0,6,40260926,CWR,2
6,1.0,6,40260927,FULL,6
6,1.0,6,40260927,AFFECTED,6
6,1.0,6,40260927,RESIDUAL,2
6,1.0,6,40260927,CWR,2
6,1.0,6,40260928,FULL,6
6,1.0,6,40260928,AFFECTED,6
6,1.0,6,40260928,RESIDUAL,2
6,1.0,6,40260928,CWR,2
6,1.0,6,40260929,FULL,6
6,1.0,6,40260929,AFFECTED,6
6,1.0,6,40260929,RESIDUAL,2
6,1.0,6,40260929,CWR,2
6,1.0,6,40260930,FULL,6
6,1.0,6,40260930,AFFECTED,6
6,1.0,6,40260930,RESIDUAL,2
6,1.0,6,40260930,CWR,2
6,1.0,6,40260931,FULL,6
6,1.0,6,40260931,AFFECTED,6
6,1.0,6,40260931,RESIDUAL,2
6,1.0,6,40260931,CWR,2
6,1.0,6,40260932,FULL,6
6,1.0,6,40260932,AFFECTED,6
6,1.0,6,40260932,RESIDUAL,2
6,1.0,6,40260932,CWR,2
6,1.0,6,40260933,FULL,6
6,1.0,6,40260933,AFFECTED,6
6,1.0,6,40260933,RESIDUAL,2
6,1.0,6,40260933,CWR,2
6,1.0,6,40260934,FULL,6
6,1.0,6,40260934,AFFECTED,6
6,1.0,6,40260934,RESIDUAL,2
6,1.0,6,40260934,CWR,2
6,1.0,6,40260935,FULL,6
6,1.0,6,40260935,AFFECTED,6
6,1.0,6,40260935,RESIDUAL,2
6,1.0,6,40260935,CWR,2
12,0.0,0,40260916,FULL,12
12,0.0,0,40260916,AFFECTED,0
12,0.0,0,40260916,RESIDUAL,0
12,0.0,0,40260916,CWR,0
12,0.0,0,40260917,FULL,12
12,0.0,0,40260917,AFFECTED,0
12,0.0,0,40260917,RESIDUAL,0
12,0.0,0,40260917,CWR,0
12,0.0,0,40260918,FULL,12
12,0.0,0,40260918,AFFECTED,0
12,0.0,0,40260918,RESIDUAL,0
12,0.0,0,40260918,CWR,0
12,0.0,0,40260919,FULL,12
12,0.0,0,40260919,AFFECTED,0
12,0.0,0,40260919,RESIDUAL,0
12,0.0,0,40260919,CWR,0
12,0.0,0,40260920,FULL,12
12,0.0,0,40260920,AFFECTED,0
12,0.0,0,40260920,RESIDUAL,0
12,0.0,0,40260920,CWR,0
12,0.0,0,40260921,FULL,12
12,0.0,0,40260921,AFFECTED,0
12,0.0,0,40260921,RESIDUAL,0
12,0.0,0,40260921,CWR,0
12,0.0,0,40260922,FULL,12
12,0.0,0,40260922,AFFECTED,0
12,0.0,0,40260922,RESIDUAL,0
12,0.0,0,40260922,CWR,0
12,0.0,0,40260923,FULL,12
12,0.0,0,40260923,AFFECTED,0
12,0.0,0,40260923,RESIDUAL,0
12,0.0,0,40260923,CWR,0
12,0.0,0,40260924,FULL,12
12,0.0,0,40260924,AFFECTED,0
12,0.0,0,40260924,RESIDUAL,0
12,0.0,0,40260924,CWR,0
12,0.0,0,40260925,FULL,12
12,0.0,0,40260925,AFFECTED,0
12,0.0,0,40260925,RESIDUAL,0
12,0.0,0,40260925,CWR,0
12,0.0,0,40260926,FULL,12
12,0.0,0,40260926,AFFECTED,0
12,0.0,0,40260926,RESIDUAL,0
12,0.0,0,40260926,CWR,0
12,0.0,0,40260927,FULL,12
12,0.0,0,40260927,AFFECTED,0
12,0.0,0,40260927,RESIDUAL,0
12,0.0,0,40260927,CWR,0
12,0.0,0,40260928,FULL,12
12,0.0,0,40260928,AFFECTED,0
12,0.0,0,40260928,RESIDUAL,0
12,0.0,0,40260928,CWR,0
