seed,domain_count,fault_budget,n_candidates,has_residual,feasible,cwr_cost,exhaustive_cost,cwr_matches_exhaustive
930621213,6,2,12,0,1,6,6,1
930621214,6,2,12,1,1,11,11,1
930621215,6,2,12,0,1,7,7,1
930621216,6,2,12,1,1,14,14,1
930621217,6,2,12,0,1,5,5,1
930621218,6,2,12,1,1,8,8,1
930621219,6,2,12,0,1,4,4,1
930621220,6,2,12,1,1,8,8,1
930621221,6,2,12,0,1,5,5,1
930621222,6,2,12,1,1,6,6,1
930621223,6,2,12,0,1,8,8,1
930621224,6,2,12,1,1,8,8,1
931010800,10,1,8,1,1,1,1,1
931010801,10,1,8,0,1,2,2,1
931010802,10,1,8,1,1,1,1,1
931010803,10,1,8,0,1,3,3,1
931010804,10,1,8,1,1,1,1,1
931010805,10,1,8,0,1,2,2,1
931010806,10,1,8,1,1,2,2,1
931010807,10,1,8,0,1,5,5,1
931010808,10,1,8,1,1,1,1,1
931010809,10,1,8,0,1,2,2,1
931010810,10,1,8,1,1,1,1,1
931010811,10,1,8,0,1,6,6,1
931010812,10,1,8,1,1,3,3,1
931010813,10,1,8,0,1,4,4,1
931010814,10,1,8,1,1,1,1,1
931010815,10,1,8,0,1,5,5,1
931010816,10,1,8,1,1,2,2,1
931010817,10,1,8,0,1,4,4,1
931010818,10,1,8,1,1,1,1,1
931010819,10,1,8,0,1,2,2,1
931010820,10,1,8,1,1,6,6,1
931010821,10,1,8,0,1,7,7,1
931010822,10,1,8,1,1,1,1,1
931010823,10,1,8,0,1,6,6,1
931010824,10,1,8,1,1,2,2,1
931011000,10,1,10,1,1,2,2,1
931011001,10,1,10,0,1,3,3,1
931011002,10,1,10,1,1,2,2,1
931011003,10,1,10,0,1,2,2,1
931011004,10,1,10,1,1,2,2,1
931011005,10,1,10,0,1,3,3,1
931011006,10,1,10,1,1,3,3,1
931011007,10,1,10,0,1,5,5,1
931011008,10,1,10,1,1,4,4,1
931011009,10,1,10,0,1,4,4,1
931011010,10,1,10,1,1,3,3,1
931011011,10,1,10,0,1,4,4,1
931011012,10,1,10,1,1,1,1,1
931011013,10,1,10,0,1,5,5,1
931011014,10,1,10,1,1,4,4,1
931011015,10,1,10,0,1,4,4,1
931011016,10,1,10,1,1,1,1,1
931011017,10,1,10,0,1,2,2,1
931011018,10,1,10,1,1,2,2,1
931011019,10,1,10,0,1,5,5,1
931011020,10,1,10,1,1,2,2,1
931011021,10,1,10,0,1,2,2,1
931011022,10,1,10,1,1,3,3,1
931011023,10,1,10,0,1,3,3,1
931011024,10,1,10,1,1,3,3,1
931011200,10,1,12,1,1,2,2,1
931011201,10,1,12,0,1,3,3,1
931011202,10,1,12,1,1,4,4,1
931011203,10,1,12,0,1,5,5,1
931011204,10,1,12,1,1,1,1,1
931011205,10,1,12,0,1,2,2,1
931011206,10,1,12,1,1,3,3,1
931011207,10,1,12,0,1,2,2,1
931011208,10,1,12,1,1,3,3,1
931011209,10,1,12,0,1,3,3,1
931011210,10,1,12,1,1,1,1,1
931011211,10,1,12,0,1,3,3,1
931011212,10,1,12,1,1,1,1,1
931011213,10,1,12,0,1,2,2,1
931011214,10,1,12,1,1,1,1,1
931011215,10,1,12,0,1,2,2,1
931011216,10,1,12,1,1,2,2,1
931011217,10,1,12,0,1,2,2,1
931011218,10,1,12,1,1,2,2,1
931011219,10,1,12,0,1,6,6,1
931011220,10,1,12,1,1,1,1,1
931011221,10,1,12,0,1,2,2,1
931011222,10,1,12,1,1,1,1,1
931011223,10,1,12,0,1,3,3,1
931011224,10,1,12,1,1,1,1,1
931020800,10,2,8,1,1,10,10,1
931020801,10,2,8,0,1,12,12,1
931020802,10,2,8,1,1,4,4,1
931020803,10,2,8,0,1,12,12,1
931020804,10,2,8,1,1,12,12,1
931020805,10,2,8,0,1,9,9,1
931020806,10,2,8,1,1,2,2,1
931020807,10,2,8,0,1,10,10,1
931020808,10,2,8,1,1,7,7,1
931020809,10,2,8,0,1,11,11,1
931020810,10,2,8,1,1,8,8,1
931020811,10,2,8,0,1,9,9,1
931020812,10,2,8,1,1,6,6,1
931020813,10,2,8,0,1,19,19,1
931020814,10,2,8,1,1,6,6,1
931020815,10,2,8,0,1,5,5,1
931020816,10,2,8,1,1,11,11,1
931020817,10,2,8,0,1,12,12,1
931020818,10,2,8,1,1,4,4,1
931020819,10,2,8,0,1,18,18,1
931020820,10,2,8,1,1,7,7,1
931020821,10,2,8,0,1,14,14,1
931020822,10,2,8,1,1,7,7,1
931020823,10,2,8,0,1,6,6,1
931020824,10,2,8,1,1,2,2,1
931021000,10,2,10,1,1,6,6,1
931021001,10,2,10,0,1,10,10,1
931021002,10,2,10,1,1,9,9,1
931021003,10,2,10,0,1,6,6,1
931021004,10,2,10,1,1,5,5,1
931021005,10,2,10,0,1,3,3,1
931021006,10,2,10,1,1,2,2,1
931021007,10,2,10,0,1,7,7,1
931021008,10,2,10,1,1,7,7,1
931021009,10,2,10,0,1,10,10,1
931021010,10,2,10,1,1,5,5,1
931021011,10,2,10,0,1,8,8,1
931021012,10,2,10,1,1,7,7,1
931021013,10,2,10,0,1,6,6,1
931021014,10,2,10,1,1,5,5,1
931021015,10,2,10,0,1,16,16,1
931021016,10,2,10,1,1,3,3,1
931021017,10,2,10,0,1,9,9,1
931021018,10,2,10,1,1,10,10,1
931021019,10,2,10,0,1,7,7,1
931021020,10,2,10,1,1,4,4,1
931021021,10,2,10,0,1,9,9,1
931021022,10,2,10,1,1,6,6,1
931021023,10,2,10,0,1,14,14,1
931021024,10,2,10,1,1,8,8,1
931021200,10,2,12,1,1,3,3,1
931021201,10,2,12,0,1,5,5,1
931021202,10,2,12,1,1,6,6,1
931021203,10,2,12,0,1,7,7,1
931021204,10,2,12,1,1,6,6,1
931021205,10,2,12,0,1,11,11,1
931021206,10,2,12,1,1,7,7,1
931021207,10,2,12,0,1,9,9,1
931021208,10,2,12,1,1,5,5,1
931021209,10,2,12,0,1,10,10,1
931021210,10,2,12,1,1,5,5,1
931021211,10,2,12,0,1,4,4,1
931021212,10,2,12,1,1,3,3,1
931021213,10,2,12,0,1,8,8,1
931021214,10,2,12,1,1,15,15,1
931021215,10,2,12,0,1,8,8,1
931021216,10,2,12,1,1,9,9,1
931021217,10,2,12,0,1,8,8,1
931021218,10,2,12,1,1,4,4,1
931021219,10,2,12,0,1,8,8,1
931021220,10,2,12,1,1,4,4,1
931021221,10,2,12,0,1,5,5,1
931021222,10,2,12,1,1,4,4,1
931021223,10,2,12,0,1,5,5,1
931021224,10,2,12,1,1,6,6,1
931510800,15,1,8,1,1,1,1,1
931510801,15,1,8,0,1,5,5,1
931510802,15,1,8,1,1,4,4,1
931510803,15,1,8,0,1,7,7,1
931510804,15,1,8,1,1,2,2,1
931510805,15,1,8,0,1,6,6,1
931510806,15,1,8,1,1,1,1,1
931510807,15,1,8,0,1,3,3,1
931510808,15,1,8,1,1,2,2,1
931510809,15,1,8,0,1,6,6,1
931510810,15,1,8,1,1,3,3,1
931510811,15,1,8,0,1,7,7,1
931510812,15,1,8,1,1,4,4,1
931510813,15,1,8,0,1,7,7,1
931510814,15,1,8,1,1,1,1,1
931510815,15,1,8,0,1,5,5,1
931510816,15,1,8,1,1,2,2,1
931510817,15,1,8,0,1,5,5,1
931510818,15,1,8,1,1,1,1,1
931510819,15,1,8,0,1,3,3,1
931510820,15,1,8,1,1,2,2,1
931510821,15,1,8,0,1,4,4,1
931510822,15,1,8,1,1,4,4,1
931510823,15,1,8,0,1,5,5,1
931510824,15,1,8,1,1,2,2,1
931511000,15,1,10,1,1,1,1,1
931511001,15,1,10,0,1,7,7,1
931511002,15,1,10,1,1,3,3,1
931511003,15,1,10,0,1,4,4,1
931511004,15,1,10,1,1,2,2,1
931511005,15,1,10,0,1,3,3,1
931511006,15,1,10,1,1,4,4,1
931511007,15,1,10,0,1,2,2,1
931511008,15,1,10,1,1,1,1,1
931511009,15,1,10,0,1,3,3,1
931511010,15,1,10,1,1,5,5,1
931511011,15,1,10,0,1,4,4,1
931511012,15,1,10,1,1,1,1,1
931511013,15,1,10,0,1,3,3,1
931511014,15,1,10,1,1,1,1,1
931511015,15,1,10,0,1,5,5,1
931511016,15,1,10,1,1,1,1,1
931511017,15,1,10,0,1,2,2,1
931511018,15,1,10,1,1,1,1,1
931511019,15,1,10,0,1,3,3,1
931511020,15,1,10,1,1,1,1,1
931511021,15,1,10,0,1,2,2,1
931511022,15,1,10,1,1,1,1,1
931511023,15,1,10,0,1,3,3,1
931511024,15,1,10,1,1,1,1,1
931511200,15,1,12,1,1,1,1,1
931511201,15,1,12,0,1,2,2,1
931511202,15,1,12,1,1,2,2,1
931511203,15,1,12,0,1,5,5,1
931511204,15,1,12,1,1,3,3,1
931511205,15,1,12,0,1,3,3,1
931511206,15,1,12,1,1,1,1,1
931511207,15,1,12,0,1,6,6,1
931511208,15,1,12,1,1,1,1,1
931511209,15,1,12,0,1,3,3,1
931511210,15,1,12,1,1,1,1,1
931511211,15,1,12,0,1,2,2,1
931511212,15,1,12,1,1,1,1,1
931511213,15,1,12,0,1,4,4,1
931511214,15,1,12,1,1,3,3,1
931511215,15,1,12,0,1,2,2,1
931511216,15,1,12,1,1,2,2,1
931511217,15,1,12,0,1,2,2,1
931511218,15,1,12,1,1,3,3,1
931511219,15,1,12,0,1,4,4,1
931511220,15,1,12,1,1,1,1,1
931511221,15,1,12,0,1,4,4,1
931511222,15,1,12,1,1,2,2,1
931511223,15,1,12,0,1,3,3,1
931511224,15,1,12,1,1,2,2,1
931520800,15,2,8,1,1,4,4,1
931520801,15,2,8,0,1,6,6,1
931520802,15,2,8,1,1,2,2,1
931520803,15,2,8,0,1,8,8,1
931520804,15,2,8,1,1,3,3,1
931520805,15,2,8,0,1,11,11,1
931520806,15,2,8,1,1,3,3,1
931520807,15,2,8,0,1,11,11,1
931520808,15,2,8,1,1,8,8,1
931520809,15,2,8,0,1,9,9,1
931520810,15,2,8,1,1,5,5,1
931520811,15,2,8,0,1,12,12,1
931520812,15,2,8,1,1,5,5,1
931520813,15,2,8,0,1,7,7,1
931520814,15,2,8,1,1,4,4,1
931520815,15,2,8,0,1,13,13,1
931520816,15,2,8,1,1,4,4,1
931520817,15,2,8,0,1,4,4,1
931520818,15,2,8,1,1,2,2,1
931520819,15,2,8,0,1,5,5,1
931520820,15,2,8,1,1,10,10,1
931520821,15,2,8,0,1,8,8,1
931520822,15,2,8,1,1,4,4,1
931520823,15,2,8,0,1,21,21,1
931520824,15,2,8,1,1,10,10,1
931521000,15,2,10,1,1,7,7,1
931521001,15,2,10,0,1,8,8,1
931521002,15,2,10,1,1,4,4,1
931521003,15,2,10,0,1,5,5,1
931521004,15,2,10,1,1,3,3,1
931521005,15,2,10,0,1,11,11,1
931521006,15,2,10,1,1,4,4,1
931521007,15,2,10,0,1,5,5,1
931521008,15,2,10,1,1,3,3,1
931521009,15,2,10,0,1,8,8,1
931521010,15,2,10,1,1,7,7,1
931521011,15,2,10,0,1,10,10,1
931521012,15,2,10,1,1,7,7,1
931521013,15,2,10,0,1,5,5,1
931521014,15,2,10,1,1,4,4,1
931521015,15,2,10,0,1,6,6,1
931521016,15,2,10,1,1,4,4,1
931521017,15,2,10,0,1,8,8,1
931521018,15,2,10,1,1,5,5,1
931521019,15,2,10,0,1,5,5,1
931521020,15,2,10,1,1,5,5,1
931521021,15,2,10,0,1,10,10,1
931521022,15,2,10,1,1,2,2,1
931521023,15,2,10,0,1,4,4,1
931521024,15,2,10,1,1,7,7,1
931521200,15,2,12,1,1,5,5,1
931521201,15,2,12,0,1,7,7,1
931521202,15,2,12,1,1,4,4,1
931521203,15,2,12,0,1,11,11,1
931521204,15,2,12,1,1,3,3,1
931521205,15,2,12,0,1,6,6,1
931521206,15,2,12,1,1,8,8,1
931521207,15,2,12,0,1,3,3,1
931521208,15,2,12,1,1,2,2,1
931521209,15,2,12,0,1,5,5,1
931521210,15,2,12,1,1,7,7,1
931521211,15,2,12,0,1,12,12,1
931521212,15,2,12,1,1,3,3,1
931521213,15,2,12,0,1,3,3,1
931521214,15,2,12,1,1,6,6,1
931521215,15,2,12,0,1,8,8,1
931521216,15,2,12,1,1,6,6,1
931521217,15,2,12,0,1,5,5,1
931521218,15,2,12,1,1,4,4,1
931521219,15,2,12,0,1,8,8,1
931521220,15,2,12,1,1,8,8,1
931521221,15,2,12,0,1,11,11,1
931521222,15,2,12,1,1,6,6,1
931521223,15,2,12,0,1,10,10,1
931521224,15,2,12,1,1,3,3,1
