repetition,scenario,defense,queries,abstract_query_cost,abstract_latency_ms,simulated_realistic_latency_ms
0,ap2_nonce_replay,AP2_ONLY,0,0,1.4745,0.0
0,ap2_nonce_replay,MAJORITY,0,0,1.2544,0.0
0,ap2_nonce_replay,TTL,0,0,1.2627,0.0
0,ap2_nonce_replay,FULL,0,0,1.3812,0.0
0,ap2_nonce_replay,CWR,0,0,1.1631,0.0
0,ap2_nonce_replay,DFMR,0,0,1.2629,0.0
0,ap2_audience_confusion,AP2_ONLY,0,0,1.2278,0.0
0,ap2_audience_confusion,MAJORITY,0,0,1.4689,0.0
0,ap2_audience_confusion,TTL,0,0,1.2793,0.0
0,ap2_audience_confusion,FULL,0,0,1.3773,0.0
0,ap2_audience_confusion,CWR,0,0,1.3247,0.0
0,ap2_audience_confusion,DFMR,0,0,1.427,0.0
0,ap2_transaction_swap,AP2_ONLY,0,0,2.9635,0.0
0,ap2_transaction_swap,MAJORITY,0,0,2.7789,0.0
0,ap2_transaction_swap,TTL,0,0,2.7934,0.0
0,ap2_transaction_swap,FULL,0,0,3.2129,0.0
0,ap2_transaction_swap,CWR,0,0,2.622,0.0
0,ap2_transaction_swap,DFMR,0,0,2.7004,0.0
0,fault_budget_exceeded,AP2_ONLY,0,0,4.1451,0.0
0,fault_budget_exceeded,MAJORITY,5,14,10.4684,346.077
0,fault_budget_exceeded,TTL,0,0,3.0405,0.0
0,fault_budget_exceeded,FULL,5,14,15.6567,336.0258
0,fault_budget_exceeded,CWR,2,5,38.1003,159.2116
0,fault_budget_exceeded,DFMR,2,5,11.8606,293.4567
0,hidden_shared_dependency,AP2_ONLY,0,0,3.8903,0.0
0,hidden_shared_dependency,MAJORITY,5,14,10.0408,705.9017
0,hidden_shared_dependency,TTL,0,0,2.8267,0.0
0,hidden_shared_dependency,FULL,5,14,9.1628,360.4486
0,hidden_shared_dependency,CWR,2,3,6.834,136.7214
0,hidden_shared_dependency,DFMR,2,3,10.5534,241.5525
1,benign_standard,AP2_ONLY,0,0,4.2472,0.0
1,benign_standard,MAJORITY,5,14,10.74,439.3121
1,benign_standard,TTL,0,0,20.0619,0.0
1,benign_standard,FULL,5,14,34.6803,545.1271
1,benign_standard,CWR,0,0,4.4648,0.0
1,benign_standard,DFMR,0,0,4.0861,0.0
1,benign_cached,AP2_ONLY,0,0,4.0774,0.0
1,benign_cached,MAJORITY,5,14,11.0064,737.9237
1,benign_cached,TTL,0,0,4.2918,0.0
1,benign_cached,FULL,5,14,10.8414,459.8119
1,benign_cached,CWR,0,0,4.1869,0.0
1,benign_cached,DFMR,0,0,4.6973,0.0
1,benign_one_source_outage,AP2_ONLY,0,0,4.2398,0.0
1,benign_one_source_outage,MAJORITY,5,14,23.0623,172.9913
1,benign_one_source_outage,TTL,0,0,5.3469,0.0
1,benign_one_source_outage,FULL,5,14,56.8906,125.2304
1,benign_one_source_outage,CWR,0,0,4.2599,0.0
1,benign_one_source_outage,DFMR,0,0,4.3754,0.0
1,benign_two_independent_outages,AP2_ONLY,0,0,4.0227,0.0
1,benign_two_independent_outages,MAJORITY,5,14,10.6141,480.062
1,benign_two_independent_outages,TTL,0,0,4.3991,0.0
1,benign_two_independent_outages,FULL,5,14,9.4641,187.8381
1,benign_two_independent_outages,CWR,3,10,7.3829,447.2131
1,benign_two_independent_outages,DFMR,5,14,27.6412,854.7202
1,prompt_injection,AP2_ONLY,0,0,19.8473,0.0
1,prompt_injection,MAJORITY,5,14,9.8848,237.6444
1,prompt_injection,TTL,0,0,2.5423,0.0
1,prompt_injection,FULL,5,14,9.3775,319.8445
1,prompt_injection,CWR,3,10,7.4727,198.5711
1,prompt_injection,DFMR,0,0,3.197,0.0
1,role_tag_injection,AP2_ONLY,0,0,4.6089,0.0
1,role_tag_injection,MAJORITY,5,14,10.6088,189.6852
1,role_tag_injection,TTL,0,0,2.7491,0.0
1,role_tag_injection,FULL,5,14,61.7336,145.9419
1,role_tag_injection,CWR,3,10,59.4373,489.9309
1,role_tag_injection,DFMR,3,10,36.0542,475.9486
1,semantic_substitution,AP2_ONLY,0,0,3.9111,0.0
1,semantic_substitution,MAJORITY,5,14,30.7089,246.0457
1,semantic_substitution,TTL,0,0,2.6483,0.0
1,semantic_substitution,FULL,5,14,60.8526,285.1744
1,semantic_substitution,CWR,3,10,12.918,318.0453
1,semantic_substitution,DFMR,0,0,2.9189,0.0
1,shared_provenance,AP2_ONLY,0,0,16.6804,0.0
1,shared_provenance,MAJORITY,5,14,8.8837,258.5577
1,shared_provenance,TTL,0,0,2.7689,0.0
1,shared_provenance,FULL,5,14,32.224,1179.2522
1,shared_provenance,CWR,3,10,17.3294,514.5683
1,shared_provenance,DFMR,3,10,11.7449,412.5205
1,stale_evidence,AP2_ONLY,0,0,3.9149,0.0
1,stale_evidence,MAJORITY,5,14,21.3752,1341.8869
1,stale_evidence,TTL,0,0,4.3365,0.0
1,stale_evidence,FULL,5,14,30.1224,468.2959
1,stale_evidence,CWR,3,10,7.2668,170.8031
1,stale_evidence,DFMR,3,10,14.1366,353.6118
1,version_race,AP2_ONLY,0,0,3.7699,0.0
1,version_race,MAJORITY,5,14,21.4314,256.9921
1,version_race,TTL,0,0,3.8442,0.0
1,version_race,FULL,5,14,30.0357,247.5459
1,version_race,CWR,0,0,2.9379,0.0
1,version_race,DFMR,0,0,2.9125,0.0
1,evidence_denial,AP2_ONLY,0,0,12.6384,0.0
1,evidence_denial,MAJORITY,5,14,9.344,262.8096
1,evidence_denial,TTL,0,0,2.8404,0.0
